OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
204,usa,na,Pine Bluff Arsenal,no,yes,no,na, ,0bacdcf3-210a-49eb-af5f-22b0db2df7b3,Pine Bluff Arsenal,act,usa,ar,0.00540310880955985,0.401468580570033
205,usa,na,Pohakuloa Training Area,no,yes,no,na, ,c8d55e03-c747-403d-93ac-c0a5aee976ed,Pohakuloa Training Area,act,usa,hi,0.0460697412297577,1.31267064079769
206,usa,na,Presidio of Monterey,no,no,no,na, ,8151d38b-f33f-4a7a-bd80-e44ded58312c,Presidio of Monterey,act,usa,ca,0.00015937350826789,0.0776831788382034
207,usa,na,NG Thunderbird Youth Academy,no,no,no,na, ,ffad11db-920d-41cd-8519-013a1c3f73ef,NG Thunderbird Youth Academy,act,armyNationalGuard,ok,0.00021469006856023,0.0966925084580186
208,usa,na,Pueblo Chemical Depot,no,yes,no,na, ,b69db1c1-ceec-49ef-86e0-e9836a522320,Pueblo Chemical Depot,act,usa,co,0.00951518450960975,0.430763733463432
209,usa,na,NG RW Shepherd Hope Hull,no,no,no,na, ,2288fee4-60cf-42d8-99c9-f375593bc9ea,NG RW Shepherd Hope Hull,act,armyNationalGuard,al,2.81780523891939E-05,0.0429925642908595
210,usa,na,Radford Army Ammunition Plant,no,yes,no,na, ,99aae1ec-8207-4b2a-9818-b6d502123269,Radford Army Ammunition Plant,act,usa,va,0.00165446358414556,0.35043155197752
211,usa,na,NG Raleigh,no,no,no,na, ,95e8d276-4db8-4b76-9622-a32f516d45ae,NG Raleigh,act,armyNationalGuard,nc,3.25914727454801E-05,0.0340436882344871
212,usa,na,NG Camp Ravenna Joint Military Training Center,no,no,no,na, ,d4eb3bf1-4a30-405f-9b74-460f8b1914f6,NG Camp Ravenna Joint Military Training Center,act,armyNationalGuard,oh,0.00941992561524785,0.531883738267279
213,usa,na,Red River Army Depot,no,yes,no,na, ,67e53f71-717a-4754-9517-8cce88325e5c,Red River Army Depot,act,usa,tx,0.00585381444898303,0.361154037210176
214,usa,na,Redstone Arsenal,no,yes,no,na, ,0f7cb3aa-db59-4491-9e14-85829173b8df,Redstone Arsenal,act,usa,al,0.0151896917002432,0.592297393271834
215,usa,na,Fort Detrick Forest Glen Annex,no,no,no,na, ,90ad5a1d-3966-407a-87d5-337efb07a62b,Fort Detrick Forest Glen Annex,act,usa,md,5.24128062853041E-05,0.0368485536256896
216,usa,na,Fort Detrick Glen Haven Annex,no,no,no,na, ,0523e904-d7e7-447f-8227-13de4503bf2c,Fort Detrick Glen Haven Annex,act,usa,md,8.23469395072607E-06,0.015531347720165
217,usa,na,NG Rickenbacker,no,no,no,na, ,89fbd8a4-b805-4db9-a778-cbb663b884f2,NG Rickenbacker,act,armyNationalGuard,oh,5.28399633771826E-05,0.030941476166209
218,usa,na,NG Rio Rancho TS,no,no,no,na, ,cbd1e33d-048f-4d75-84a4-ad83ccf97063,NG Rio Rancho TS,act,armyNationalGuard,nm,4.79122054457548E-05,0.0293127810911021
219,usa,na,Rivanna Station,no,no,no,na, ,a5b8a5a1-526c-4747-ae40-5a7c2d0759b4,Rivanna Station,act,usa,va,3.10315592741972E-05,0.0289660314146764
220,usa,na,Riverbank AAP,no,no,no,na, ,8a195ce5-3387-4377-ac8c-fcb5b9e46e0b,Riverbank AAP,clsd,usa,ca,5.64736624255602E-05,0.0330530752428631
221,usa,na,NG Rochester NGA and OMS 2,no,no,no,na, ,57efd987-ad12-47db-93f5-0fa85b28dfc5,NG Rochester NGA and OMS 2,act,armyNationalGuard,mn,5.17880357620015E-06,0.0110962837241556
222,usa,na,NG Rosemount NG Armory,no,no,no,na, ,37105506-54f2-4aef-b053-8f6532cc28f2,NG Rosemount NG Armory,act,armyNationalGuard,mn,5.51937182535767E-06,0.00980929706569017
223,usa,na,Runkle Stagefield AL,no,no,no,na, ,d21a0bb3-84af-4b4f-b281-f79928a8746a,Runkle Stagefield AL,act,usa,al,0.000100503763633242,0.0455339047383302
225,usa,na,NG Saint George/FMS 5B,no,no,no,na, ,1b92ac89-947c-4de0-8aeb-41e72a7a5527,NG Saint George/FMS 5B,act,armyNationalGuard,ut,2.82107516795804E-05,0.0232659139898997
227,usa,na,Savanna Depot Act,no,no,no,na, ,973d9fb0-71e4-4c39-b6ee-719a757f9005,Savanna Depot Act,clsd,usa,il,0.00376296965214351,0.837751750675295
229,usa,na,Scranton Army Ammunition Plant,no,yes,no,na, ,46d11677-179c-4afe-bfcd-51b9a2da7376,Scranton Army Ammunition Plant,act,usa,pa,6.42387476545991E-06,0.0108307419533575
230,usa,na,NG Sea Girt  NJ NGTC,no,no,no,na, ,c9891bbd-c8b5-4f3d-b659-92c94d2d3f1e,NG Sea Girt  NJ NGTC,act,armyNationalGuard,nj,7.4242678238079E-05,0.0408413101022353
232,usa,na,NG Shelbyville,no,no,no,na, ,ef0fe000-e15c-4a41-9c13-30cf5cd7d56b,NG Shelbyville,act,armyNationalGuard,in,1.95891441308049E-05,0.0213216328010858
